reviewId,content,score,at
c66c2410-377c-4262-84a3-28a297743830,"sudah sangat bagus tampilannya hanya sayangnya data actual pada aplikasi tidak sesuai dengan implementasi di lapangan alias kenyataan. contoh status ""BANTUAN MASUK"" kenyataan saat Kpm cek tidak ada masih kosong. jadi perlu di koordinasi dengan benar antara pemerintah dan pihak bank. ingat kita negara kepulauan kasian Kpm yang rumahnya di pelosok sampai pegunungan. mohon di perbaiki lagi.",5,2026-05-29 11:10:48
4a489ca2-9de2-43cb-8bbe-07722cd5802b,"aplikasi terburuk sedunia. login gabisa, alasannya connection error. pas udah ke log in tiba tiba ke log out. desil ga muncul. buat apa anggaran buat aplikasi besar tapi aplikasinya kayak dibuat orang baru belajar ngoding. teks FAQ banyak yang typo. masa sekelas pemerintah ga ngecek dulu sih? MASALAH UTAMANYA GABISA LOGIN WOIII GIMANA INI!?!? fiks lah bug nya, udah semingguan gabisa login ini. kemana anggaran kalian itu, cuma nge fiks aja masa gabisa",1,2026-05-30 00:35:08
38131a6a-4f73-449e-9866-7719e4d7de1c,"Pas mau pembaruan data ada tulisan ""Terjadi kendala koneksi silahkan coba lagi beberapa saat lagi,(e-136)"" terus saat mau disubmit, aplikasi sampah buang buang anggaran doang, gapernah diurus!",1,2026-06-06 02:10:43
7519ca42-f25f-4868-9402-4e0a8ee468ed,"Tolong dong ini apk yang di upgrade supaya ga nge.bug terus, periksa jaringan terus, padahal jaringan bagus, muter² terus mau usulan mandiri stuck di masukan nik terus, di oke.in malah muter terus gue udah coba sampe sejam lebih tetep aja muter terus ujung²nya periksa jaringan, tolong diperbaiki",2,2026-06-02 02:17:50
4740db48-1ece-40a7-9901-033ffcba0553,"1. aplikasi cek bansosnya susah loginnya...udah beberapa kali nik sudah terdaftar pdhal baru buka aplikasi cek bansos dan baru mau daftar/login 2. setelah update malah aplikasinya tidak bisa kebuka, hy muncul gambar awal, tidak bisa muncul menu cek bansosnya",1,2026-05-31 02:08:14
b62325bf-a82d-4427-8e97-d8a90d8f4f9d,"Tampilan baru nya oke banget. lebih update dan transparan jadi ga perlu nanya2 lagi ke pendamping. Tapi percuma juga sih saya download, setahun nunggu KKS ga turun2. sampai detik ini(Mei 2026) blm dpt juga tuh kartu...",5,2026-05-29 15:24:06
8257c69f-ebff-4f39-b8b1-21f4e95b5328,ini gmn ya buka apk ini gak pencet apa2 tetiba data disanggah terus ada tulisan anda mengundurkan diri dr bantuan. saya mengharapkan bantuan bukan mau mengundurkan diri. mau masuk keaplikasinya lagi malah error udah 3 hari layar hitam terus. jd binggung mau ngecek bansos gmn lagi.. tolong diperbaiki.. dan semoga bantuan saya tetap aman..,2,2026-05-31 00:40:20
d1c73739-ded5-4674-8a06-68f59533375d,"Sebenarnya aplikasi ini sangat bagus , mempermudah untuk masyarakat di pelosok atau jauh dari mesin atm . tapi kekurangannya di masalah bug koneksi jaringan . padahal jaringan saya lancar , semoga diperbaiki lagi bug nya",5,2026-05-30 03:07:48
f8baaea0-b682-44a2-99f5-b753fe8d5f02,"Apk yg berhubungan dgn pemerintahan emang ribet, seolah apk dibuat dengan berbagai batasan yg menyulitkan pengguna utk melibatkan jajaran instansi Pemerintahan terkait setelah pengajuan tidak bisa lagi melalui fitur apk, nah sedangkan jajaran pemerintahan terkait yg akan membantu dari mulai urutan tingkat tinggi hingga tingkat bawahan tidak nyingkron, berbelit-belit urusannya yg membuat rakyat dibuat bolak-balik muter-muter,bahkan utk bansos sendiri tidak akan pernah yg namanya TEPAT SASARAN.",1,2026-05-31 03:42:51
5b778cfd-64ee-456d-95f4-32b41eaf0dce,"mau masuk aplikasi gak bisa, sudah masukin nama dan kata sandi. bilangnya koneksi buruk, tapi jaringan pake wifi bagus dan buka apk lainnya lancar aja, bug atau bagaimana gak tau. tolong responya dong",1,2026-05-30 02:49:14
7dc02e65-0c80-410f-8788-f8a84febd272,"katanya diperbarui apk nya.. bisa liat nominal saldo dan status pergerakan bansos.. tp tiap didownload ga bisa masuk, cuma dilayar depan aja, gabisa masuk ke apk nya.. segera diperbaiki lagi..",2,2026-06-01 14:03:21
b5b45da1-8aa7-4857-8026-544bb3100322,"tolonglah para pejabat jangan korupsi, beli aplikasi yang bagus sesuai harga. aplikasi mahal sulit dipakai, cuma buat upload foto saja susah. nggak malu sama pengembang medsos? kirim video sehari 10 x saja masih gampang. ini kirim foto 3 biji langsung time out. neraka buat kalian",1,2026-06-02 03:44:09
ae1bb8d5-8853-4d3f-bb6e-ca01c074ba3c,Ntah kenapa aplikasinya ga bisa di buka. Padahal udah bener masukin sandinya cuman stuk terus muter2. alesannya koneksi buruk. Padahal internet di rumah lancar-lancar aja😤😤 Tolong diperbaiki coba.,1,2026-06-01 06:26:49
32ea46a1-7b99-4b94-8294-5cd6f81340e0,"ketika mau daftarkan detsilin aplikasi tidak bisa di bukak ,banyak pro dan kontraknya ada yang bilng server jaringan ada yang bilng hp nya gak semodd , bangke jadi gimana mau usulkan bantuan mandirinya kalok sedang kita datang ke kelurahan aja ribet apa lagi yang mandiri .",1,2026-06-03 10:50:05
f9bcd85c-70d7-497f-9243-93ba718708c2,"kenapa ketika saya melakukan usulan untuk bansos malah waktu kunjungan saya habis, padahal kan kita butuh waktu buat masukin nomor nik dan nomor KK, padahal saya juga udah login sebelum itu jadi hal ini terus berulang. mohon peningkatan pada aplikasi ini. bukan kan aplikasi ini hadir untuk membantu tapi jikalau seperti ini saya tidak merasa terbantu. mohon di develop kembali aplikasi ini agar mempermudah kami yg ingin mendaftar terimakasih",3,2026-05-30 07:30:38
cc2ee6d0-1977-4f32-b811-a68fa62beb30,"nge bug, usulan 1 keluarga yg dapet PBI cuma saya, anak istri saya ngebug, sebelumnya di profil keluarga muncul tapi tulisan bukan keluarga, setelah pengajuan pembaruan data malah hilang profil keluarga tidak di temukan, itu desil keluarga juga harusnya 4 bukan 5",1,2026-06-01 11:12:12
a7948e5a-2d74-4e8b-9b61-84dc005988bd,"ini aplikasinya asal bikin apa gmn, udah daftar gak bisa masuk??????? coba recommendasi sinyal biar tidak bermasalah sambungannya ?? apa sengaja dipersulit biar tidak bisa di gunakan??",1,2026-05-30 07:31:27
8de7b03d-0dc4-4ac4-877d-8ff235370213,"tolong dibenerin aplikasinya mau kirim data susah banget eror terus sudah ganti koneksi wifi paket data tetep aja susah, login susah perbaharui data susah",1,2026-06-02 06:21:29
ee1f7538-6692-464d-98a0-409a4c10d5bf,"aplikasi nya masih ngebug ya? tolong di periksa min, cuma bisa sampe tap home aja, untuk masuk ke home pencet yang lain pun ga keluar apapun. tolong diperbaiki",1,2026-05-29 13:23:58
81258df4-b873-4268-91a1-c3a1801b0f7b,Bagaimana ini developer tidak bisa mengubah menu usulan bansos untuk pkh. alasan nya terjadi kendala koneksi dari kemarin hingga sekarang. Padahal sinyal bagus.,3,2026-06-04 01:29:50
6cb58990-b26d-449c-b8a6-d273820f67b6,"aplikasi apa ini lemot banget, muter muter, masuk aja susahnya minta ampun, ngajuin juga bug teruss. Tolong dibenerin masak sekelas pemerintah aplikasinya bobrok, harusnya tu rekrut orang kompeten biar kalau masalah langsung bisa",1,2026-05-30 10:57:14
4efcde81-f398-4162-bb57-8dfa5ddbb60e,"Tolong di update ya admin untuk pitur terbaru nyah di apk cek bansos ini,supaya para kpm Bpntn + Pkh nyah tahu (update periode ,update nominal Bpnt + Nominal Pkh nyah min ya )sudah 2 hari malah ga bisa di buka website cek bansos nyah,begituhpun aplikasi cek bansos eror ga bisa di buka parah gimana sih",2,2026-06-01 04:08:00
52cbc769-da8d-4ae0-958a-a62e1ce23d09,ini app apaan ya?! kok daftar aja kagak bisa bisa! connection problem mulu padahal koneksi internet bagus. koneksi ordal kah maksudnya?? gak niat kasih bantuan ya?,1,2026-05-30 14:16:28
